ds,y,metric,instance
2025-08-07 11:51:00+00:00,0.0,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 11:52:00+00:00,439.4703915306495,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 11:53:00+00:00,1057.2772848805705,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 11:54:00+00:00,1517.934934130021,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 11:55:00+00:00,1917.3112883198112,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 11:56:00+00:00,2016.5556393070804,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 11:57:00+00:00,1639.6672682615715,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 11:58:00+00:00,1054.5078843515523,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 11:59:00+00:00,596.6375452657682,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:00:00+00:00,816.741469745309,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:01:00+00:00,1294.4494661510544,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:02:00+00:00,1804.130173304647,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:03:00+00:00,2151.3917221841944,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:04:00+00:00,1990.817217850501,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:05:00+00:00,1830.2427135168075,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:06:00+00:00,1586.1354457167508,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:07:00+00:00,1666.033949780357,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:08:00+00:00,1649.3451983765028,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:09:00+00:00,1632.6564469726484,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:10:00+00:00,1615.9676955687942,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:11:00+00:00,1599.2789441649397,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:12:00+00:00,1582.5901927610855,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:35:00+00:00,1198.748910472436,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:36:00+00:00,1182.0601590685817,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:37:00+00:00,1165.3714076647275,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:38:00+00:00,1148.682656260873,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:39:00+00:00,1131.9939048570186,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:40:00+00:00,1115.3051534531644,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:41:00+00:00,1123.9900127719975,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:42:00+00:00,1127.6728084754925,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:43:00+00:00,889.5422652856664,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:44:00+00:00,857.3984854265351,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:45:00+00:00,732.9872254427182,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:46:00+00:00,693.1752027402081,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:47:00+00:00,680.6894259531836,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:48:00+00:00,699.6693048912832,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:49:00+00:00,712.0073008561125,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:50:00+00:00,762.820621349361,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:51:00+00:00,791.2668905751692,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:52:00+00:00,792.0937191478966,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:53:00+00:00,791.5378356387307,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:54:00+00:00,818.0124715499222,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:55:00+00:00,846.7685633917375,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:56:00+00:00,834.196064587739,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:57:00+00:00,706.1854101802176,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:58:00+00:00,683.6409713162635,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 12:59:00+00:00,739.6691312940799,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 13:00:00+00:00,725.8822527051205,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 13:01:00+00:00,753.1400336318748,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 13:02:00+00:00,887.7570371975834,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 13:03:00+00:00,901.2406275916928,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 13:04:00+00:00,893.3291018955969,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 13:05:00+00:00,890.9473007884133,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 13:06:00+00:00,895.8151354854109,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 13:07:00+00:00,916.452246076866,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 13:08:00+00:00,901.1277635622708,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 13:09:00+00:00,889.4619336188,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 13:10:00+00:00,896.0477029419786,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 13:11:00+00:00,882.4799070127858,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 13:12:00+00:00,887.1891890062508,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 13:13:00+00:00,805.4654257573446,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 13:14:00+00:00,708.6312875693718,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 13:15:00+00:00,887.973447034383,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-07 13:16:00+00:00,874.3510413344933,container_blkio_device_usage_total,cadvisor-01.u-cloudsolutions.xyz
