ds,y,metric,instance
2025-08-18 11:58:00+00:00,4.6342603008e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 11:59:00+00:00,4.6342603008e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:00:00+00:00,4.6342603008e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:01:00+00:00,4.6342603008e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:02:00+00:00,4.6342603008e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:03:00+00:00,4.6342603008e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:04:00+00:00,3.8427328572e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:05:00+00:00,3.5737426648e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:06:00+00:00,3.6731706644e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:07:00+00:00,3.8225255973e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:08:00+00:00,3.4712850247e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:09:00+00:00,3.3703135159e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:10:00+00:00,3.3777396883e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:11:00+00:00,3.5553830459e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:12:00+00:00,3.6663921955e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:13:00+00:00,5.7321997799e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:14:00+00:00,5.2782331683249995e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:15:00+00:00,4.82426655675e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:16:00+00:00,4.370299945175e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:17:00+00:00,3.9163333336e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:18:00+00:00,3.833622024790909e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:19:00+00:00,3.750910715981818e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:20:00+00:00,3.668199407172727e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:21:00+00:00,3.5854880983636364e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:22:00+00:00,3.5027767895545454e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:23:00+00:00,3.4200654807454544e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:24:00+00:00,3.3373541719363635e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:25:00+00:00,3.254642863127273e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:26:00+00:00,3.171931554318182e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:27:00+00:00,3.089220245509091e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:28:00+00:00,3.0065089367e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:29:00+00:00,3.0759007237833334e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:30:00+00:00,3.1452925108666667e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:31:00+00:00,3.21468429795e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:32:00+00:00,3.2840760850333333e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:33:00+00:00,3.3534678721166666e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:34:00+00:00,3.4228596592e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:35:00+00:00,3.4141546341e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:36:00+00:00,3.5086371827e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:37:00+00:00,3.2867966887e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:38:00+00:00,3.1596704965e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:39:00+00:00,3.4995709314e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:40:00+00:00,3.5947404648e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:41:00+00:00,3.0898809524e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:42:00+00:00,3.568649263e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:43:00+00:00,3.3999050643e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
2025-08-18 12:44:00+00:00,2.9152608431e-06,container_cpu_usage_seconds_total,cadvisor-01.u-cloudsolutions.xyz
