ds,y,metric,instance
2025-08-08 00:19:00+00:00,5693440.0,,
2025-08-08 00:20:00+00:00,5693440.0,,
2025-08-08 00:21:00+00:00,5693440.0,,
2025-08-08 00:22:00+00:00,5693440.0,,
2025-08-08 00:23:00+00:00,5693440.0,,
2025-08-08 00:24:00+00:00,5693440.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 00:25:00+00:00,5693440.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 00:26:00+00:00,5693440.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 00:27:00+00:00,5693440.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 00:28:00+00:00,5693440.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 00:29:00+00:00,5693440.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 00:30:00+00:00,5693440.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 00:31:00+00:00,5693440.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 00:32:00+00:00,5693440.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 00:33:00+00:00,5693440.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 00:34:00+00:00,5693440.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 00:35:00+00:00,5693440.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 00:36:00+00:00,5693440.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 00:37:00+00:00,5696981.058064516,,
2025-08-08 00:38:00+00:00,5700522.116129032,,
2025-08-08 00:39:00+00:00,5704063.174193548,,
2025-08-08 00:40:00+00:00,5707604.232258065,,
2025-08-08 00:41:00+00:00,5711145.29032258,,
2025-08-08 03:06:00+00:00,6224598.70967742,,
2025-08-08 03:07:00+00:00,6228139.767741935,,
2025-08-08 03:08:00+00:00,6231680.825806452,,
2025-08-08 03:09:00+00:00,6235221.883870968,,
2025-08-08 03:10:00+00:00,6238762.941935483,,
2025-08-08 03:11:00+00:00,6242304.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 03:12:00+00:00,6242304.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 03:13:00+00:00,6242304.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 03:14:00+00:00,6242304.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 03:15:00+00:00,6242304.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 03:16:00+00:00,6242304.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 03:17:00+00:00,6242304.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 03:18:00+00:00,6242304.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 03:19:00+00:00,6242304.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 03:20:00+00:00,6242304.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 03:21:00+00:00,6233156.266666667,,
2025-08-08 03:22:00+00:00,6224008.533333333,,
2025-08-08 03:23:00+00:00,6214860.8,,
2025-08-08 03:24:00+00:00,6205713.066666666,,
2025-08-08 03:25:00+00:00,6196565.333333333,,
2025-08-08 10:45:00+00:00,2171562.6666666665,,
2025-08-08 10:46:00+00:00,2162414.933333333,,
2025-08-08 10:47:00+00:00,2153267.1999999997,,
2025-08-08 10:48:00+00:00,2144119.466666667,,
2025-08-08 10:49:00+00:00,2134971.7333333334,,
2025-08-08 10:50:00+00:00,2125824.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 10:51:00+00:00,2125824.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 10:52:00+00:00,2125824.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 10:53:00+00:00,2125824.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 10:54:00+00:00,2125824.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 10:55:00+00:00,2125824.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 10:56:00+00:00,2125824.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 10:57:00+00:00,2125824.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 10:58:00+00:00,2125824.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 10:59:00+00:00,2118691.3103448274,,
2025-08-08 11:00:00+00:00,2111558.620689655,,
2025-08-08 11:01:00+00:00,2104425.9310344825,,
2025-08-08 11:02:00+00:00,2097293.2413793104,,
2025-08-08 11:03:00+00:00,2090160.551724138,,
2025-08-08 11:51:00+00:00,1747791.448275862,,
2025-08-08 11:52:00+00:00,1740658.7586206896,,
2025-08-08 11:53:00+00:00,1733526.0689655172,,
2025-08-08 11:54:00+00:00,1726393.3793103448,,
2025-08-08 11:55:00+00:00,1719260.6896551724,,
2025-08-08 11:56:00+00:00,1712128.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 11:57:00+00:00,1712128.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 11:58:00+00:00,1712128.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 11:59:00+00:00,1712128.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 12:00:00+00:00,1712128.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 12:01:00+00:00,1712128.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 12:02:00+00:00,1712128.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 12:03:00+00:00,1712128.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 12:04:00+00:00,1712128.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 12:05:00+00:00,1712128.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 12:06:00+00:00,1712128.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
2025-08-08 12:07:00+00:00,1712128.0,container_memory_usage_bytes,cadvisor-02.u-cloudsolutions.xyz
