ds,y,metric,instance
2025-08-07 11:51:00+00:00,6591295488.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 11:52:00+00:00,6589177856.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 11:53:00+00:00,6629482496.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 11:54:00+00:00,6626349056.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 11:55:00+00:00,6627995648.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 11:56:00+00:00,6633472000.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 11:57:00+00:00,6634045440.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 11:58:00+00:00,6625071104.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 11:59:00+00:00,6621872128.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:00:00+00:00,6607630336.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:01:00+00:00,6650634240.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:02:00+00:00,6611402752.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:03:00+00:00,6634151936.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:04:00+00:00,6648074240.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:05:00+00:00,6657204224.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:06:00+00:00,6630604800.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:07:00+00:00,6651633664.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:08:00+00:00,6612447232.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:09:00+00:00,6639267840.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:10:00+00:00,6659465216.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:11:00+00:00,6642266112.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:12:00+00:00,6636843008.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:13:00+00:00,6637101056.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:14:00+00:00,6624976896.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:15:00+00:00,6645305344.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:16:00+00:00,6619635712.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:17:00+00:00,6624292864.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:18:00+00:00,6623117312.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:19:00+00:00,6629109760.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:20:00+00:00,6609903616.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:21:00+00:00,6620155904.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:22:00+00:00,6656864256.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:23:00+00:00,6624948224.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:24:00+00:00,6611959808.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:25:00+00:00,6641299456.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:26:00+00:00,6623694848.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:27:00+00:00,6619238400.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:28:00+00:00,6616567808.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:29:00+00:00,6611787776.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:30:00+00:00,6628573184.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:31:00+00:00,6658465792.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:32:00+00:00,6666682368.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:33:00+00:00,6669582336.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:34:00+00:00,6631661568.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:35:00+00:00,6623350784.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:36:00+00:00,6621208576.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:37:00+00:00,6624477184.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:38:00+00:00,6602784768.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:39:00+00:00,6655959040.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:40:00+00:00,6626660352.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:41:00+00:00,6629175296.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:42:00+00:00,6643044352.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:43:00+00:00,6618869760.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:44:00+00:00,6640939008.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:45:00+00:00,6637260800.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:46:00+00:00,6636576768.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:47:00+00:00,6636519424.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:48:00+00:00,6642962432.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:49:00+00:00,6635425792.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:50:00+00:00,6647463936.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:51:00+00:00,6643449856.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:52:00+00:00,6655950848.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:53:00+00:00,6627704832.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:54:00+00:00,6641328128.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:55:00+00:00,6655897600.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:56:00+00:00,6659649536.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:57:00+00:00,6659383296.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:58:00+00:00,6672687104.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 12:59:00+00:00,6683873280.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:00:00+00:00,6703230976.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:01:00+00:00,6699196416.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:02:00+00:00,6683275264.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:03:00+00:00,6693879808.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:04:00+00:00,6659358720.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:05:00+00:00,6666776576.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:06:00+00:00,6662217728.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:07:00+00:00,6671196160.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:08:00+00:00,6699995136.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:09:00+00:00,6684823552.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:10:00+00:00,6697119744.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:11:00+00:00,6687657984.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:12:00+00:00,6684950528.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:13:00+00:00,6711025664.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:14:00+00:00,6737055744.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:15:00+00:00,6748512256.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:16:00+00:00,6791413760.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:17:00+00:00,6772867072.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:18:00+00:00,6790389760.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:19:00+00:00,6745645056.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:20:00+00:00,6738264064.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:21:00+00:00,6755364864.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:22:00+00:00,6744670208.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:23:00+00:00,6728663040.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:24:00+00:00,6727999488.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:25:00+00:00,6399987712.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:26:00+00:00,6491209728.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:27:00+00:00,6538665984.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:28:00+00:00,6570680320.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:29:00+00:00,6529277952.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:30:00+00:00,6517948416.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:31:00+00:00,6512275456.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:32:00+00:00,6541103104.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:33:00+00:00,6543458304.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:34:00+00:00,6529957888.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:35:00+00:00,6529634304.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:36:00+00:00,6536609792.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:37:00+00:00,6576893952.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:38:00+00:00,6549827584.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:39:00+00:00,6550142976.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:40:00+00:00,6552760320.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:41:00+00:00,6543319040.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:42:00+00:00,6573436928.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:43:00+00:00,6562488320.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:44:00+00:00,6538792960.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:45:00+00:00,6544764928.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:46:00+00:00,6573248512.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:47:00+00:00,6556237824.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:48:00+00:00,6545813504.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:49:00+00:00,6540066816.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:50:00+00:00,6519009280.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:51:00+00:00,6546419712.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:52:00+00:00,6571171840.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:53:00+00:00,6598443008.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:54:00+00:00,6571003904.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:55:00+00:00,6573641728.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:56:00+00:00,6568566784.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:57:00+00:00,6571200512.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:58:00+00:00,6576762880.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 13:59:00+00:00,6581796864.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 14:00:00+00:00,6569967616.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 14:01:00+00:00,6595239936.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
2025-08-07 14:02:00+00:00,6578561024.0,node_memory_Active_anon_bytes,node-exporter-02.u-cloudsolutions.xyz
