ds,y,metric,instance
2025-08-07 11:51:00+00:00,608464896.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 11:52:00+00:00,550772736.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 11:53:00+00:00,609046528.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 11:54:00+00:00,610529280.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 11:55:00+00:00,549285888.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 11:56:00+00:00,596701184.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 11:57:00+00:00,1029296128.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 11:58:00+00:00,546775040.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 11:59:00+00:00,612282368.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:00:00+00:00,999530496.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:01:00+00:00,584765440.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:02:00+00:00,579723264.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:03:00+00:00,626405376.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:04:00+00:00,717705216.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:05:00+00:00,719802368.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:06:00+00:00,676925440.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:07:00+00:00,616640512.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:08:00+00:00,590245888.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:09:00+00:00,651358208.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:10:00+00:00,941531136.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:11:00+00:00,665935872.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:12:00+00:00,526499840.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:13:00+00:00,1016565760.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:14:00+00:00,499478528.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:15:00+00:00,706682880.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:16:00+00:00,707559424.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:17:00+00:00,844025856.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:18:00+00:00,525447168.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:19:00+00:00,656326656.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:20:00+00:00,581701632.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:21:00+00:00,737304576.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:22:00+00:00,602693632.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:23:00+00:00,731078656.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:24:00+00:00,490409984.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:25:00+00:00,572633088.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:26:00+00:00,586166272.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:27:00+00:00,625225728.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
2025-08-07 12:28:00+00:00,703332352.0,node_memory_Active_file_bytes,node-exporter-01.u-cloudsolutions.xyz
