horizon,mse,rmse,mae,mape,mdape,smape,coverage
0 days 00:01:00,7.909542237609273e-06,0.00281239084012327,0.002239114868750308,0.022983050780951003,0.018878550968958022,0.022603308957044987,1.0
0 days 00:02:00,8.688149550219548e-06,0.002947566716839425,0.0022696170592310556,0.023380132369253487,0.017189872241134267,0.022951737656500742,1.0
0 days 00:03:00,9.013327120673475e-06,0.0030022203651087096,0.0022796409861663043,0.023499888723668372,0.018908950467937596,0.02305898097174458,1.0
0 days 00:04:00,9.667133051115644e-06,0.003109201352617042,0.002336372154730069,0.024109352018724495,0.02107886543147866,0.023642134295537576,1.0
0 days 00:05:00,9.954428514173262e-06,0.0031550639477153646,0.0023973620016837192,0.02473849389584315,0.02045421786414718,0.02425637821436788,1.0
0 days 00:06:00,1.0404100093707429e-05,0.003225538729221435,0.002480233044757238,0.02559951675635702,0.0231899358593602,0.025102964111089365,1.0
0 days 00:07:00,1.01309693657259e-05,0.0031829183724572485,0.0025391640907812853,0.026128719291165725,0.025415707119723397,0.025659332549198277,1.0
0 days 00:08:00,9.977746735934456e-06,0.003158757150515762,0.0025097808668179435,0.025783168087198716,0.027276339656210742,0.025333634049769682,1.0
0 days 00:09:00,9.335012179985947e-06,0.003055325216729955,0.0024174689373728415,0.024824195427341822,0.025987581033571832,0.024400770350272438,1.0
0 days 00:10:00,9.794651129323753e-06,0.003129640734864587,0.002443070393187252,0.02514171111396274,0.02562266148382423,0.0246884538525107,1.0
0 days 00:11:00,9.87389932963525e-06,0.0031422761383486414,0.00247332954599681,0.025498367717634474,0.021318134512605776,0.02502049265614914,1.0
0 days 00:12:00,1.0176998413219794e-05,0.003190140814011161,0.0024538408916238603,0.02536686678351696,0.01863826880479045,0.024861029913096327,1.0
0 days 00:13:00,1.0001689475393433e-05,0.0031625447784013167,0.0024022167536700625,0.02483203440644957,0.017688989665086,0.02433256376606019,1.0
0 days 00:14:00,1.0520234380375867e-05,0.003243491079126913,0.0024963680878706783,0.025832993500200963,0.01589545833438064,0.025299289413509674,1.0
0 days 00:15:00,1.0270979647474871e-05,0.0032048369143335316,0.0024323218581630453,0.02518240112471959,0.01367277226089364,0.024655715603273426,1.0
0 days 00:16:00,1.0125126702588568e-05,0.003182000424668194,0.002418471383537492,0.025018434312539695,0.01221010121003397,0.024499978669504652,1.0
0 days 00:17:00,1.0373880277862746e-05,0.0032208508624061976,0.0025103913158793234,0.02591766102655263,0.014018000414701779,0.02539719839309157,1.0
0 days 00:18:00,1.1091929446651661e-05,0.0033304548408065317,0.0025838758135709253,0.026749127751382884,0.01145904133806496,0.02617837930602851,1.0
0 days 00:19:00,1.171693139375152e-05,0.003423000349656938,0.00262175993232178,0.02719692950864666,0.012536858503613149,0.02658663029510472,1.0
0 days 00:20:00,1.2561805533995075e-05,0.003544263750625096,0.0026917755623555445,0.027994558214072596,0.01298872469530954,0.027332927197465995,1.0
0 days 00:21:00,1.2510805728517706e-05,0.003537061736599703,0.002633607704165205,0.027423791939747755,0.01550031727605629,0.026760705415422026,1.0
0 days 00:22:00,1.290778801023068e-05,0.0035927410163036633,0.0026642821476365007,0.027770893422709608,0.01580110398807064,0.027084651047999397,1.0
0 days 00:23:00,1.2914394029230948e-05,0.003593660255120251,0.0027093882506062927,0.0282118287213034,0.013434247469008306,0.02752636828300581,1.0
0 days 00:24:00,1.3365663448597457e-05,0.003655908019712402,0.0027263391730581663,0.028424835113050773,0.012544702648796103,0.027713429166768777,1.0
0 days 00:25:00,1.3345818562311414e-05,0.003653192927058659,0.0027761852980014746,0.02891477583267754,0.012352831357396406,0.028205640039577762,1.0
0 days 00:26:00,1.482695629371965e-05,0.003850578695952032,0.0028862713023399406,0.030161388419379542,0.013663714691194269,0.029369045379613767,1.0
0 days 00:27:00,1.5182071445439657e-05,0.003896417770906972,0.002935829378589737,0.03067737849116875,0.014979268029613012,0.029868514679512903,1.0
0 days 00:28:00,1.5004550892763882e-05,0.003873570819381502,0.002840702479247781,0.0297058113814338,0.01629947724866834,0.02890623290970551,1.0
0 days 00:29:00,1.4779954072372187e-05,0.0038444705841470797,0.0028670162427120484,0.02992553676315507,0.017624327621250144,0.02914385919373641,1.0
0 days 00:30:00,1.5370567131104784e-05,0.003920531485794341,0.0028700908841882665,0.030025669637499808,0.0189538038261299,0.029208046674235877,1.0
0 days 00:31:00,1.6251657621217658e-05,0.004031334471514074,0.003120085736298305,0.03258715084107916,0.03554321461607344,0.03172801394837438,1.0
0 days 00:32:00,1.7427511318968185e-05,0.004174627087413699,0.00331702059789412,0.0346806217215605,0.04913900987173106,0.03375675212008372,1.0
0 days 00:33:00,1.6005894901272288e-05,0.0040007367948007135,0.0032000945572213738,0.03334574354238673,0.03674096791754294,0.03250074247352225,1.0
