horizon,mse,rmse,mae,mape,mdape,smape,coverage
0 days 00:01:00,4.845033777789409e-06,0.0022011437431002567,0.001763421863437354,0.002344552969576027,0.0018085639705077464,0.0023406153343866025,1.0
0 days 00:02:00,4.920634141307255e-06,0.002218250243166279,0.001785969091946383,0.0023745395115756275,0.0018338224996211296,0.002370554920399618,1.0
0 days 00:03:00,5.15018701638107e-06,0.00226940234783986,0.0018276702961275947,0.0024300732302028234,0.0018911048641322356,0.0024259020389796153,1.0
0 days 00:04:00,5.1971314950074126e-06,0.00227972180210819,0.0018403049727719993,0.002446999853450118,0.002047264323242578,0.0024427823194738824,1.0
0 days 00:05:00,5.357055042887094e-06,0.0023145312793062646,0.001883769636524077,0.0025044806926342728,0.0020409247921439316,0.0025001537201438037,1.0
0 days 00:06:00,5.527069150220465e-06,0.002350971958620618,0.0019001513596278961,0.0025264794446537703,0.0020671274345879114,0.002521987168414612,1.0
0 days 00:07:00,5.680504751117998e-06,0.002383380949642335,0.0019216511077355877,0.002554948225013235,0.0019632292220870687,0.0025503367675113464,1.0
0 days 00:08:00,5.646226655374658e-06,0.0023761790032265366,0.001923107423125868,0.0025568490252591176,0.001991459223217347,0.0025522597679020764,1.0
0 days 00:09:00,5.828135692736933e-06,0.002414153204073207,0.001954807409334767,0.002599064301249114,0.0020179778264691976,0.0025943421908784722,1.0
0 days 00:10:00,5.969593317886653e-06,0.0024432751212024105,0.0019657823499952577,0.0026140216537073047,0.002044602223729267,0.002609167694264728,1.0
0 days 00:11:00,6.09852678502998e-06,0.0024695195453832675,0.001999124270779074,0.0026582390115710217,0.0020708218768509586,0.0026532865832218817,1.0
0 days 00:12:00,6.238265238964083e-06,0.0024976519451204732,0.0020256660467521184,0.0026935857050596895,0.0020976569420704215,0.0026885222615884163,1.0
0 days 00:13:00,6.38570469509873e-06,0.00252699519095283,0.0020391969166947514,0.0027115706517051134,0.002124086656879267,0.0027063655231099777,1.0
0 days 00:14:00,6.502904626633124e-06,0.0025500793373213165,0.0020686457554475596,0.002750740357727339,0.0021429669543744537,0.0027454836988342994,1.0
0 days 00:15:00,6.67323406216686e-06,0.0025832603550875123,0.002099705152791051,0.002792043818184757,0.0023076545805968633,0.0027866402528854382,1.0
0 days 00:16:00,6.874407174683146e-06,0.0026219090706359645,0.002122093165930008,0.002821928637922924,0.0022043532444330155,0.002816339488769342,1.0
0 days 00:17:00,6.943075220350881e-06,0.0026349715786609315,0.002131991721742662,0.0028350913986025586,0.002230785244346143,0.0028294402764099044,1.0
0 days 00:18:00,7.123421537075475e-06,0.0026689738734344093,0.0021684479897750436,0.0028834988833752566,0.0022620732772150234,0.0028776647499787547,1.0
0 days 00:19:00,7.244046831434063e-06,0.002691476700890064,0.002182425490677195,0.002902257887206699,0.0022896373924437517,0.002896341753080279,1.0
