horizon,mse,rmse,mae,mape,mdape,smape,coverage
0 days 00:01:00,4.868111859399044e-06,0.0022063798085096417,0.0016978359215337607,0.0022446340720632535,0.0013968460545468106,0.002243140036370682,1.0
0 days 00:02:00,4.885457298579773e-06,0.002210307059795035,0.0016949188418770994,0.00224098574445155,0.0014744448053724574,0.0022394123801643614,1.0
0 days 00:03:00,5.083661164579999e-06,0.002254697577188568,0.0017242081378864224,0.002279813902992228,0.001518948703684187,0.0022781174137396706,1.0
0 days 00:04:00,5.184425451798232e-06,0.0022769333437319223,0.0017443942968768111,0.0023065510126428768,0.0015230939084105403,0.002304801340249442,1.0
0 days 00:05:00,5.287247988033163e-06,0.002299401658700185,0.0017678562529681655,0.0023378311369018634,0.001551493294159609,0.002336013378618239,1.0
0 days 00:06:00,5.382116167488833e-06,0.0023199388283937214,0.001780448944985219,0.002354184369138576,0.0015370283621848567,0.0023522905719843,1.0
0 days 00:07:00,5.385100997403261e-06,0.0023205820384988034,0.001779148487800128,0.0023526788802001666,0.0015364630230646102,0.002350770099703553,1.0
0 days 00:08:00,5.385076601698295e-06,0.002320576782116527,0.001778861881200161,0.0023524322577512385,0.00155397007088898,0.0023505018652026435,1.0
0 days 00:09:00,5.5602582287689285e-06,0.002358019980570336,0.0018073525038355617,0.0023898723238633193,0.0016202349822808898,0.002387859625188074,1.0
0 days 00:10:00,5.697529738647733e-06,0.0023869498818885437,0.0018291543533931198,0.0024187131040858956,0.0016298803080223336,0.0024166310982550177,1.0
0 days 00:11:00,5.694379405552945e-06,0.002386289882967479,0.0018317521171454729,0.0024222065150241723,0.0016375846016113671,0.002420179841734954,1.0
0 days 00:12:00,5.7898991166426515e-06,0.0024062209201656136,0.0018419701828707447,0.002435815968818908,0.0016450086409466515,0.0024337243391698016,1.0
0 days 00:13:00,5.842003725779304e-06,0.0024170237329780822,0.0018444057761825075,0.0024390580639636894,0.0017232719410988366,0.0024368798153315274,1.0
0 days 00:14:00,6.003245811739483e-06,0.0024501522017498184,0.0018826792849531981,0.0024895026469408388,0.0016956297356157685,0.0024872834837387364,1.0
0 days 00:15:00,6.144976843213226e-06,0.0024789063804858034,0.0019068801199806779,0.0025216781172690966,0.0017041361228036028,0.002519352857991722,1.0
0 days 00:16:00,6.242039006071321e-06,0.002498407293871702,0.0019222520481262662,0.002541801291724391,0.0017044838604449858,0.0025393891805251118,1.0
0 days 00:17:00,6.313145542005482e-06,0.002512597369656643,0.0019239429576638767,0.00254399206686394,0.0017293242250885894,0.002541552273601727,0.9629629629629619
0 days 00:18:00,6.381561782513892e-06,0.002526175326954543,0.0019334047723477757,0.0025569220654545477,0.0017319365035034383,0.0025543736429261277,0.9629629629629619
0 days 00:19:00,6.4444780954213605e-06,0.002538597663163929,0.0019458356074803715,0.0025735456457011557,0.0017886084639959206,0.00257092206581179,1.0
0 days 00:20:00,6.580753559659721e-06,0.0025652979475413226,0.0019704149951486824,0.0026056209771802424,0.0017835350547586572,0.0026029307785418593,0.9629629629629619
0 days 00:21:00,6.718773205607328e-06,0.0025920596454571273,0.0019714651296220895,0.0026078324220766003,0.0018546266916572743,0.0026050522274731758,0.9629629629629619
0 days 00:22:00,6.755573539697369e-06,0.0025991486182397054,0.0019858651267935234,0.0026264582817020765,0.0018770848747420384,0.002623658125309014,0.9629629629629619
0 days 00:23:00,6.839131105255904e-06,0.002615173245744133,0.0019994375070433584,0.0026445412647678884,0.0018951417691622343,0.0026417145718152096,0.9629629629629619
0 days 00:24:00,6.919232951979571e-06,0.0026304434896001036,0.0020117784300854105,0.002660789082416168,0.0018356493903214394,0.0026578953344683215,0.9629629629629619
0 days 00:25:00,7.085883004065771e-06,0.0026619321937393094,0.002033628727561791,0.0026896513677188427,0.001881996347200621,0.002686642190539268,0.9629629629629619
0 days 00:26:00,7.217845326751938e-06,0.0026866047954159423,0.0020513979559522444,0.0027135156213642098,0.0018951292994278906,0.0027104352289553935,0.9629629629629619
