horizon,mse,rmse,mae,mape,mdape,smape,coverage
0 days 00:01:00,5.709570819317864e-05,0.0075561702067369185,0.005726504101421337,0.0064278292912989254,0.005328143616803584,0.006435868972395509,1.0
0 days 00:02:00,5.739740024051287e-05,0.007576107195685187,0.005764945929524867,0.0064790721012149555,0.005044222103734378,0.006489072668018958,1.0
0 days 00:03:00,6.193269481860825e-05,0.00786973283019241,0.006060860165605753,0.006812736396133723,0.00515873495093618,0.006823246537029259,1.0
0 days 00:04:00,5.9306219232952394e-05,0.007701053124927291,0.005695876903660191,0.0063987670192179325,0.004653210023727303,0.006410455617223365,1.0
0 days 00:05:00,6.059476887180322e-05,0.007784264183068507,0.00579402157888298,0.006512379415201441,0.004864413368701544,0.006521155006614432,1.0
0 days 00:06:00,6.0928659885072824e-05,0.007805681256948225,0.005937727832682815,0.006668029338811943,0.005145960588615187,0.006677842990613636,1.0
0 days 00:07:00,6.119613988415625e-05,0.00782279616787733,0.005886411877009501,0.006616086891780115,0.005393226954729743,0.006625609099661645,1.0
0 days 00:08:00,6.705122183768737e-05,0.008188481045815968,0.006161542237659801,0.006928170798752964,0.0057402790004360766,0.006939310268889609,1.0
0 days 00:09:00,7.302269995900813e-05,0.008545332056684991,0.00627983914353919,0.007062714963484595,0.005413273361916093,0.007076631650019538,1.0
0 days 00:10:00,7.375292992286425e-05,0.008587952603668948,0.00621446796966274,0.006989043426390784,0.004604252569063576,0.007002549629714305,0.9818181818181841
0 days 00:11:00,7.724900939026953e-05,0.00878914156162418,0.006609294121540543,0.007425870704038662,0.005691811786227872,0.007437618731434836,1.0
0 days 00:12:00,8.31226429127115e-05,0.009117161998819122,0.006798405086156423,0.007651936655275526,0.006459474701525562,0.007660986130242908,1.0
0 days 00:13:00,7.812471600137857e-05,0.008838818699429159,0.006683400793686456,0.007512983786482519,0.005579726955726174,0.00751986700695767,1.0
0 days 00:14:00,8.207769899726616e-05,0.00905967433174428,0.006798725826159535,0.0076407772718825595,0.0060981547069652,0.007650696444647775,1.0
0 days 00:15:00,8.203573580539691e-05,0.009057358102967825,0.006692844768060535,0.007521647725985292,0.006144102856527148,0.0075321500928965945,1.0
0 days 00:16:00,8.680216734975252e-05,0.009316768074270848,0.006984356241698353,0.007848764225346139,0.0066961637508558625,0.007861198950705306,0.9818181818181841
0 days 00:17:00,8.667151110985406e-05,0.009309753547213485,0.006793255676554311,0.007638019041268818,0.006313940901295513,0.007647500083573622,1.0
0 days 00:18:00,8.93107180936284e-05,0.009450434809765549,0.0069435118482822356,0.00781290711517496,0.00618596346706736,0.007821499132035503,1.0
0 days 00:19:00,9.00534452795464e-05,0.009489649376006808,0.007160267122795438,0.008054745938789687,0.006927158429526042,0.00806259866161102,1.0
0 days 00:20:00,9.278072866304547e-05,0.009632275362708723,0.007174060338635824,0.008074463480903016,0.006704909207283294,0.008081649004291369,1.0
0 days 00:21:00,9.854717269702946e-05,0.009927092862315204,0.007406572967062097,0.008321923386192864,0.005925796142808018,0.008333121678060662,0.9818181818181841
0 days 00:22:00,9.576111366244987e-05,0.009785760760536192,0.007408512353583807,0.008328814291083286,0.006746763898203399,0.008342798628742265,0.9818181818181841
0 days 00:23:00,0.00010517458661037614,0.010255466182011237,0.007312216774966684,0.008217055265940965,0.0060992739687795,0.008233244705912024,0.9818181818181841
0 days 00:24:00,0.00011106173223325317,0.010538583027772433,0.007645106012766856,0.008588620020215376,0.00702394962570959,0.008603443905063346,0.9636363636363612
0 days 00:25:00,0.0001272249657981216,0.011279404496608924,0.007997245419071763,0.008950878479464353,0.00675783517106281,0.008978451825325418,0.9636363636363612
0 days 00:26:00,0.0001315736983077461,0.011470557889995852,0.008019539785713403,0.008964800463393985,0.006421451723074636,0.008995414282992997,0.9454545454545453
0 days 00:27:00,0.00013216350485992234,0.01149623872664109,0.008070244600721976,0.009024059317781497,0.0067211045960942645,0.00905335049514322,0.9636363636363612
0 days 00:28:00,0.00012972833493699824,0.01138983471947676,0.00803218787654758,0.008969675112265152,0.006288040409901032,0.00900097167616648,0.9636363636363612
0 days 00:29:00,0.0001416179134476319,0.01190033249315463,0.008225395527738988,0.009191908621584866,0.006693308793082205,0.009223425847568356,0.9636363636363612
0 days 00:30:00,0.00014363797178801232,0.011984905998296871,0.00836264559101213,0.009344055981171051,0.007034412468439925,0.009377190663622526,0.9636363636363612
0 days 00:31:00,0.00015402437029813157,0.012410655514441272,0.008695708762975263,0.009725947275650015,0.0075771788941167255,0.009759970519245265,0.9454545454545453
0 days 00:32:00,0.00015005097020521357,0.012249529387091309,0.008746211995050934,0.009774373900503841,0.007817047775277454,0.009809408803633679,0.9454545454545453
