horizon,mse,rmse,mae,mape,mdape,smape,coverage
0 days 00:01:00,5.453624251189901e-05,0.007384865774805864,0.005674638954069666,0.006367783097202984,0.005184200895137241,0.006375509707566118,1.0
0 days 00:02:00,5.525036274151105e-05,0.007433058774253776,0.005798525719854397,0.006512294679594577,0.005447578569558908,0.006522416450741253,1.0
0 days 00:03:00,6.025977652732075e-05,0.007762717084070548,0.006080719537418955,0.006831954157065334,0.00577521403860139,0.0068426413521646134,1.0
0 days 00:04:00,5.78394690270447e-05,0.007605226428387566,0.005667395419353072,0.006363719895243536,0.005738947773188893,0.006375667338533897,1.0
0 days 00:05:00,5.8853205021304825e-05,0.007671584257590138,0.00579414753989782,0.006507506030793586,0.005224905340570843,0.006517165766727728,1.0
0 days 00:06:00,5.990902505283082e-05,0.00774009205712896,0.006058947038770246,0.006798176432825431,0.005345664750661156,0.006808696528270819,1.0
0 days 00:07:00,5.878895350108987e-05,0.0076673954835452356,0.005941273325425267,0.006673563581433339,0.005683363497053133,0.00668367129237879,1.0
0 days 00:08:00,6.394385254467451e-05,0.007996490014042068,0.006031039555051965,0.006779541383889365,0.0054005750987289654,0.00679127131582713,1.0
0 days 00:09:00,7.048103696511137e-05,0.00839529850363353,0.00634956743038767,0.007136804452847145,0.006435031842322532,0.007151827035925096,1.0
0 days 00:10:00,7.016257209961109e-05,0.00837631017212299,0.006199074258106341,0.006967480951526106,0.004711342685359824,0.006982041707816911,1.0
0 days 00:11:00,7.312302951318229e-05,0.008551200472049658,0.006508309633787179,0.007310010530843236,0.0060683706285888355,0.007322672869679692,1.0
0 days 00:12:00,7.856306238995803e-05,0.008863580675435748,0.006790587424349903,0.007637719795454467,0.00649075950915232,0.007647600212815908,1.0
0 days 00:13:00,7.415806395731639e-05,0.008611507647172846,0.006543112620595981,0.007352820163356588,0.005869763433981873,0.007360643796533783,1.0
0 days 00:14:00,7.780157542114363e-05,0.008820520133254253,0.00670906035199631,0.0075356361456662135,0.006424399411866414,0.007546848888831781,1.0
0 days 00:15:00,7.812161427167997e-05,0.008838643237040398,0.00660727202295841,0.00741976330940447,0.0061550144046087964,0.007431960621156419,1.0
0 days 00:16:00,8.286285966264701e-05,0.00910290391373253,0.006846939804938501,0.0076904007653189055,0.0074096821992968315,0.007704195320577256,1.0
0 days 00:17:00,8.290957417928131e-05,0.009105469465067757,0.0067893913681026374,0.007626395328556856,0.006688419849958398,0.007637092127436185,1.0
0 days 00:18:00,8.352586725119977e-05,0.009139248724660019,0.006797827487136254,0.007642768304181091,0.006779756012816309,0.0076520879697865585,1.0
0 days 00:19:00,8.466031033850952e-05,0.009201103756534296,0.007024157780534779,0.00789514529395735,0.00699373017722039,0.007904555730645024,1.0
0 days 00:20:00,8.816424757507758e-05,0.00938958186369753,0.00707721877194839,0.007958490173969102,0.0069569662882222995,0.007967478147059781,1.0
0 days 00:21:00,9.329259510230514e-05,0.009658809196909583,0.007272647053610304,0.008163474307769147,0.007586819328107668,0.00817647096987767,1.0
